95	Eres la niña de mis ojos	Eres la n i ña de mis ojos
96	Tan cerca de mi	Míralo a tu lado por las calles
97	Te amo	Te amo, oh Jesus te amo
98	Te doy gracias Jesús	Te doy gracias Jesús Mi amor era pequeño
99	Te busque	Una vez, te busqué
100	Todas las cosas van bien	Inicio En la vida hay momentos
101	El baile de la mane	CORO Una mane (T) Una mane
102	Tu Señor	Tu señor sabes bien, lo que yo tengo
103	Toma mis Lagrimas	103. Toma mis Lagrimas
104	Bendita Eucaristía	A ti, el mas inocente, Bendita Eucaristíaa a a a,
105	Yo sé que él vive	(Inicia solo con acordes en la primera
106	Espiritu Santo, ven a mi	INICIO Acorde suave G G Bm Em Am
107	Tú me llamaste mi Señor	G Em G Tú me llamaste mi Señor
108	El Profeta	Padre Padre Con Pondre mi fuego en tu boca
109	Con el todo se puede	Am7 No escondes tu candíl
110	Señora Señora	D F#m Bm AM-D7 D F#m Bm Am-D7
111	Maria de mi niñez	Cuando era pequeño, muy pequeño Después fui creciendo, fui creciendo
112	Maria de Nazaret	MARÍA DE NAZARET, Mujer que trajiste el don de la paz,
113	Madre eres ternura	113. Madre eres ternura
114	María Mírame	(S) María mírame, María mírame,
115	El diario de María	115. El diario de María
116	Niña que nació 4ta Estación	Niña que nació Madre de Jesús
117	Dios te a escogido hoy	F Déjalo entrar, cada día
118	Alma Misionera	G C Te doy mi corazón sincero
119	Tu Secreto es Maria 01	119. Tu Secreto es Maria 01 114102014
120	Con estas cenizas señor	Con estas cenizas Señor Buscamos, tu u rostro / /
121	Caminando voy a Jerusalen	Caminando voy a Jerusalen
122	Mi vida Transformó	Estaba yo muy triste sin saber a donde ir
123	Algunas ambientaciones	L=Lider C=Coro T=Todos LA NAVAJA
124	Solo Dios	Solo Dios (H) Solo Dios
125	Un día caminaba (Perdón)	125. Un día caminaba (Perdón)
126	Ángeles	Si, sientes un murmullo muy cerca de ti
127	Hazme un Instrumento de tu Paz	127. Hazme un Instrumento de tu Paz
128	Las mañanitas	ESTAS SON LAS MAÑANITAS YA VIENE AMANECIENDO
129	Te Adorare	Cuando miro a tu Santidad
130	Yo quiero alabar a Cristo	Yo quiero alabar a Cristo
131	Con un paso de Fe	G, C, D C/D, (Solo al inicio 2) G, C, D C/D,
132	Bautízame Señor	Bautízame Señor con tu Espíritu
133	Yo te amo mucho	Yo te amo mucho (M) Mucho
134	El Rey del Universo	Si no se
135	Salmo 24	Señor, QUIEN PUEDE ENTRAR
136	Aleluya Palau 16	(Todos) A le luya Aleluya al se ño or
137	Busca a Dios	Busca busca busca a Dios (2)
139	117 Aleluya Flor y Canto	Aleluya Aleluya Aleluya
140	Háblame Señor	Yo siento, Señor, que tu me amas.
141	Oh buen Jesús yo creo firmemente	141. Oh buen Jesús yo creo firmemente
142	Pacto de Amor	Prometemos que si un hijo nos regala
143	Yo vengo del Sur y del Norte	Dm,A7 Dm A7 Dm
144	Jesús Amigo	A Hoy quiero comulgar
145	Cantemos todos cantemos	Balada Ritmica Em Dm
146	Cordero, San Jose	(H) Cordero de Dios que quitas (H) Cordero de Dios que quitas
147	Gloria (Padre Jose Tomas Perez)	G, Cdda2, D Gloria a Dios en el cielo
148	Piedad # 5	(M) Señor ten piedad
150	Si Conocieras	Todas las C Em F G
151	Tu mi Alfarero	gira que gira rueda que rueda
152	Ven Señor (Himno de Alvernia)	152. Ven Señor (Himno de Alvernia)
153	Estoy a la puerta y llamo	C Am F F, Em, Dm
154	Perdona tu Pueblo	(C O R O) Por los tres calvos que te-clava arón
155	Gracias por los alimentos	Este es el Rap de la bendición
156	Pescador de Hombres	Tu, has venido a la orilla
157	Regalo de Dios	Quiero cantar y quiero gritar Tiene la vida un-sin fin de caminos
158	Como no creer en Dios	Yo te llevo desde niño muy adentro Em B7
159	Tarde viernes Santo	Tarde de viernes santo, Aunque tú alma llora,
160	Las siete palabras	Jesús Nazareno, Rey de los Judíos
161	Tu eres el agua pura	(1ra vuelta Solista, 2da vuelta Todos)
162	A los pies de la Cruz	Toma mi vida Señor
163	Noche Luminosa	Noche Luminosa Enseñanos tu camino
164	Junto a ti Maria	Junto a ti María, como niño quiero estar
165	Espiritu Santo Ven	Y derrama, tus bendiciones,
166	Aleluya 11	A le lu uya
167	Espiritu de Dios (Coro Asis)	Espiritu de Dios Derrama tu fuego y tu poder
168	Padre Bendito	Padre, bendito el cielo
169	Cristo Cristo	Dejanos decirte lo que sentimos
171	Yo soy el pan de vida	(S) Yo soy el pan de vida (S) Mientras tu no comas
172	Como alaba el pato	Es una canción de animación..... "hoy soy feliz" y como un eco los demas repiten (hoy
173	Aleluya 12	
174	Yo te extrañaré	(S2) Ya no llores por mi (C) Ya no llores por mi
175	Peregrino a donde vas (Cesareo Gabaraín)	Peregrino por un camino que va-a-amorir
176	La Sagrada Familia (Jesed)	En un rincón, Mira José,
177	El León de la Tribu de Judea	S El león de la tribu de Juda, Em
178	Altisimo Señor (Sinai)	( C O R O, 1ra Arp, 2da balada) Y ahora estas aquí
179	Venimos hoy a tu altar	Ritmo: Balada Moderna
180	Levanto mis manos	Levanto mis manos
181	Ven te necesito	Ven te necesito para que le des sentido estoy cansado de vagar lejos de ti
182	Muévete en mi. Athenas	Ven espíritu santo llena toda la tierra Ven espíritu santo, purifica las almas
183	El día de Pentecostés	El día de Pentecostés
184	Jesus, eres digno de alabar	Levanto mis manos
186	CONTIGO, MARÍA	Quiero caminar contigo María
187	Ha traído la esperanza	Inicia con coro de hombres
188	Inúndame (Espíritu Santo)	Entra Te-abro mi corazón G D
189	Eres todo para mí	(Aldana+Itala+ varios, Adoración)
190	Nada puede Separarte	190. Nada puede Separarte
191	Campana sobre Campana	Campana sobre campana, y sobre campana una,
192	El Tamborilero	El Camino que lleva a Belén,
193	Burrito Sabanero	Ritmo Balada rapida G C D G
194	Te dejo Ganar	Ya no quiero luchar
195	El Bautismo de Cristo (Padre Edgar Larrea)	Vino de Galilea a las aguas del Rio Jordán
196	Que bien se esta aquí en tu presencia	196. Que bien se esta aquí en tu presencia
197	El Galileo	Una mañana, cerca del mar, apareció un joven galileo
198	Señor quien puede entrar	Señor, quien puede entrar
199	Mi mano esta llena	de su Bendición (Ambientación)
200	Toma mi mano (Alfareros)	Toma mi vida, hazla de nuevo
201	Te entrego (Joan Sanchez)	(Comunión, meditación, adoración)
203	Todo es tuyo	(Comunión, meditación, adoración)
204	En su mesa hay amor	El Señor nos ha reunido junto a Él,
205	Siempre te amaré (Athenas)	Te conozco, desde antes que nacieras
206	El Rey de mi vida	206. El Rey de mi vida
207	Hasta la locura	(Pablo Martinez) (Reflexión, Adoración)
208	La Ascención del Señor	208. La Ascención del Señor
209	Ven Espíritu Santo	209. Ven Espíritu Santo
210	Tomalo, Aceptalo u Hoy Señor	210. Tomalo, Aceptalo u Hoy Señor
211	En sus manos	Pablo Martinez (Comunión, meditación, adoración)
212	Jesus Eucaristia	Mayra Alejandra Barajas (Comunión, meditación, adoración)
213	Apaga tu celular	Te la pasas jugando Quitate el auricular
214	Dios de Pentecostés	Em / / Am D Em / / Am D
215	Yo creo en ti	Mas allá de lo que me digan
216	Gloria de Sabinas	Gloria al Señor
218	Una alabanza a ti	Desde siempre, para siempre
219	Tengo hambre de ti	219. Tengo hambre de ti
220	Volveremos a juntarnos	Y-después de pasar la cuarentena
221	Espérame	Espérame por la mañana Espérame desde temprano
222	Pase lo que pase	222. Pase lo que pase
223	Milagro de amor	223. Milagro de amor
224	Había olvidado como era mi alma	224. Había olvidado como era mi alma
225	Eucaristía (Kairy Marquez)	225. Eucaristía (Kairy Marquez)
226	Cristo yo te amo (Luis Y Castillo)	226. Cristo yo te amo (Luis Y Castillo)
227	Aleluya (Aldo Blanco)	227. Aleluya (Aldo Blanco)
228	Venimos a entregarte	Ritmo: Balada moderna
229	Dios manda la lluvia (Ericson Alexandar)	229. Dios manda la lluvia (Ericson Alexandar)
230	De que color es la piel de Dios	230. De que color es la piel de Dios
231	Bendita seas Maria	231. Bendita seas Maria
232	Cristo Reina	Mi corazón quiere alabar Alabarte Sube de tomo con dos acordes
233	Aluluya (Isa Villalobos)	233. Aluluya (Isa Villalobos)
235	Me has seducido Señor	235. Me has seducido Señor
236	Dulce Madre	Como seria Le acompañaste
237	Canción de despedida	237. Canción de despedida
238	Quien me separara	238. Quien me separara
239	Dame tus Ojos	239. Dame tus Ojos
240	Progreso	Yo quisiera poder aplacar una fiera terrible. Yo quisiera no ver tanto verde en la tierra
241	Aleluya para Bodas DO	241. Aleluya para Bodas DO
242	No hay nadie como tu	242. No hay nadie como tu
243	Gloria al Rey	Gloria al Rey. Rey Santo y Justo. Gloria al Rey. Rey Santo y Justo.
244	Despierta Alma Mia	Despierta alma mía
245	No voy a decirte adios	245. No voy a decirte adios
247	Me Rindo	Vengo ante ti con mi dolor
248	Tarde te amé	248. Tarde te amé
249	Solamente de la Santa Trinidad	
252	Me Rindo	Vengo ante ti con mi dolor sin fuerza sin voz
253	Aquí estamos Señor	253. Aquí estamos Señor
254	Madre Maria	Quiero ser, como tu, Maria
255	Pan y Vino	Pan y vino, Pan y vino, tu nos invitas en el altar
256	OPEN THE EYES ON MY HEART	256. OPEN THE EYES ON MY HEART
262	Jesús Eucaristía (Presencia Real)	262. Jesús Eucaristía (Presencia Real)
263	Fluye en mi	263. Fluye en mi
266	Nadie te ama como yo	266. Nadie te ama como yo
267	Confianza Jon Carlo	267. Confianza Jon Carlo 04172022
270	Dios no quiere la muerte	270. Dios no quiere la muerte
271	Sobre tu Altar (Ofertorio)	271. Sobre tu Altar (Ofertorio)
272	Supe que me amabas	272. Supe que me amabas
276	Estoy dispuesta	De tu mano camina a ar
277	Tomados de la mano con	277. Tomados de la mano con
282	El Señor resucito	282. El Señor resucito
285	Eres tu tu Jesus	285. Eres tu tu Jesus
290	Es Pentecostés	Estando ellos reunidos Con su Espíritu nada tememos
294	Las alas de la Mariposa	294. Las alas de la Mariposa
295	El mandato del Señor	295. El mandato del Señor
296	Vine a Adorarte	Tú eres la luz
298	Llena la tierra	No, no hay otro hombre
300	Jesús mi fiel amigo	300. Jesús mi fiel amigo
301	Que seas mi universo	301. Que seas mi universo
302	Eres mi Todo	302. Eres mi Todo
303	Tienes que ser un niño	303. Tienes que ser un niño
304	En mi Debilidad	304. En mi Debilidad
306	Quebrantame	Oh, Señor mi Dios Quebrántame, toma lo que soy y
307	Hay una Unción	307. Hay una Unción
308	Dios te salve María	308. Dios te salve María
309	Gloria	Gloria, Glo o oria,
312	Acaso no estoy yo aquí	312. Acaso no estoy yo aquí
313	El vive Javier Bru	313. El vive Javier Bru 0104202022
314	Cántale	Cántale, Cántale, Cántale
317	Como la Brisa	317. Como la Brisa
318	Cada Vez que recibo	318. Cada Vez que recibo
319	Yo solo se Cantar	SUBIR Gm D7 Gm
320	Por tu grandeza	Por tu grandeza El trabajo en la dura jornada
323	Temblando de amor	Em, Am, B7, Em- En tu cuerpo encuentro mi paz Señor
324	El buen Pastor	324. El buen Pastor
327	Divina Misericordia	Balda rítmica movida
328	El Señor Resusito	328. El Señor Resusito
330	De Colores	De colores de colores se visten
332	Honor y Gloria	Honor y Gloria a ti Señor Jesus u us
333	Señor ten Piedad 1a	333. Señor ten Piedad 1a
334	Gloria a Dios	Gloria a Dios en el cielo,
335	Que alegría es venir a la casa de Dios	335. Que alegría es venir a la casa de Dios
336	Alianza de Amor	336. Alianza de Amor
338	Cantale (Entrada)	cántale Ccon salmos Fnuevos;
339	Patos, Pollos y Gallinas van	339. Patos, Pollos y Gallinas van
340	Cantando la Alegria	Hay una Fe que nos alumbra con su luz
341	Piedad # 1 (Angus Dei)	Padre Dios del cielo
342	Gloria (Angus Dei)	Gloria a Dios en lo alto de los cielos
343	Aleluya # 4 (Angus Dei)	Aleluya, Aleluya, Aleluya (2)
344	Como lo hizo María (AngusDei)	No solo el vino y el pan
345	Cordero de Dios (Angus Dei)	Circulo de Re D, BM, Em, A7
347	Mi corazón te canta	347. Mi corazón te canta
348	Cuán Grande es Dios	348. Cuán Grande es Dios
349	Amor Eterno RE	349. Amor Eterno RE
350	Amor Eterno DO	350. Amor Eterno DO
351	Amor Eterno LA	351. Amor Eterno LA
352	Incomparable (Adoración)	Es un deleite para mi
353	Señor tu eres el pan	353. Señor tu eres el pan
354	Dios te Salve Maria	354. Dios te Salve Maria
355	Enamorame JAR	Quiero entregarte mis sueños
357	Incomparable	Es un deleite para mi
358	Pan de Vida Eterna	358. Pan de Vida Eterna
359	Dios te Salve Maria	359. Dios te Salve Maria
362	Alma de Cristo	362. Alma de Cristo
363	Pan del Cielo	363. Pan del Cielo
364	El Señor es compasivo	364. El Señor es compasivo
365	Disfrutalo con tu Familia	365. Disfrutalo con tu Familia
367	Adorándote (Sinai)	U u u uh, Adorándote - Amándote (3)
368	Jesús tu eres la persona	368. Jesús tu eres la persona
369	Gloria Litúrgico	TONO = MIm GLORIA
370	Sacramento de Amor	370. Sacramento de Amor
